planet_name,orbital_period,semi_major_axis,planet_mass,planet_radius,stellar_mass,stellar_temp,equilibrium_temp,eccentricity,discovery_method
Kepler-51 d,130.194,0.509,7.6,9.7,1.04,6018,381,0.008,Transit
Kepler-396 c,88.505,NA,17.9,5.3,0.85,NA,NA,NA,Transit
Kepler-51 c,85.312,0.384,4,9,1.04,6018,439,0.014,Transit
Kepler-122 f,56.268,NA,36,1.75,1.03,NA,NA,NA,Transit Timing Variations
Kepler-350 d,26.136,NA,14.9,2.8,1,NA,NA,NA,Transit
Kepler-85 c,12.51,NA,2.15,1.978,0.928,5505.2,NA,0.027,Transit
Kepler-60 c,8.9187,NA,3.85,1.9,1.041,5905,NA,NA,Transit
Kepler-60 d,11.8981,NA,4.16,1.99,1.041,5905,NA,NA,Transit
Kepler-417 b,12.331,NA,11,2.31,0.9,NA,NA,NA,Transit Timing Variations
Kepler-415 b,4.176,NA,119.9,1.21,0.67,NA,NA,NA,Transit Timing Variations
Kepler-305 c,8.291,NA,6,3.3,0.76,NA,NA,NA,Transit
Kepler-305 d,16.74,NA,6.2,2.76,0.827,5090,NA,NA,Transit
Kepler-307 c,13.0729,NA,3.64,2.2,0.907,5367,NA,NA,Transit
Kepler-411 b,3.005156,0.0375,25.6,2.401,0.87,NA,1138,0.146,Transit
Kepler-323 b,1.678328,0.02778,3.9,1.381,1.015,6004,1838,0.095,Transit
Kepler-338 e,9.341,NA,8.5,1.56,1.14,NA,NA,NA,Transit Timing Variations
Kepler-35 b,131.458,0.60347,40.363,8.16,0.8877,5606,NA,0.042,Transit
Kepler-38 b,105.599,0.4632,122,4.3,0.941,5623,475,0.032,Transit
Kepler-106 d,23.9802,NA,8.1,0.95,1,5858,NA,NA,Transit
Kepler-238 f,50.447,NA,13.5,2,1.06,NA,NA,NA,Transit
Kepler-79 e,81.0659,0.386,4.1,3.49,1.165,6174,NA,0.012,Transit
Kepler-279 d,54.414,NA,37.5,3.1,1.1,NA,NA,NA,Transit
Kepler-87 c,191.2318,0.676,6.4,6.14,1.1,5600,403,0.039,Transit
Kepler-396 b,42.994,NA,75.5,3.5,0.85,NA,NA,NA,Transit
Kepler-131 c,25.5169,NA,8.25,0.84,1.02,5685,NA,NA,Transit
Kepler-92 c,26.723,NA,6.1,2.6,1.21,NA,NA,NA,Transit
Kepler-406 c,4.62332,NA,2.71,0.85,1.07,5538,NA,NA,Transit
Kepler-62 c,12.4417,0.0929,4,0.54,0.69,4925,578,NA,Transit
Kepler-62 f,267.291,0.718,35,1.41,0.69,4925,208,NA,Transit
Kepler-391 c,20.501,0.164,450,2.88,1.27,5038,662,0.27,Transit
Kepler-411 d,58.02035,0.279,15.2,3.319,0.87,NA,410,0.128,Transit
Kepler-328 b,34.921,NA,28.5,2.3,1.15,NA,NA,NA,Transit
